"cluster","vd","capac_prod","prac_empre","abs_ih","prop_calif","gest_rrhh","orga_tec","prop_capac","vinc_inst","d_especinsum","d_especproce","d_trazabilidad","d_problemas","d_mejoracont","d_diseno","d_deptoid","d_montcomp","d_montec","prop_prof","prop_tec","d_rrhhdto","d_perffor","d_evaldes","d_sistemas","d_sapoydec","d_softgest","capacit_nojer","capacit_ger","capacit_sup","d_vincpub","d_vincfir","d_vincase","tam_mue","k_inac","rama_act","exporta","innovo","ing","dai","did","empleo","tc.va.tr","tc.empleo","tc.ventas"
"3",FALSE,3,1,2,4.62478016491502,1,3,36.6666666666667,3,1,1,1,1,0,0,1,1,1,3.98727286673576,5.26228746309428,1,0,0,1,1,1,10,0,100,1,1,1,"Grande",0,"Frigorificos",1,0,294457143.456807,1,0,NA,27.178020130051,NA,38.4948898413027
"4",TRUE,3,3,3,21.8468048548658,3,3,100,3,1,1,1,1,1,1,1,1,1,18.3691599034876,25.3244498062441,1,1,1,1,1,1,100,100,100,1,1,1,"Grande",0,"Farmaceuticas",1,1,182127329.119696,1,1,NA,50.1953591476897,NA,-38.3281893931223
"4",TRUE,3,3,3,8.0860896707456,3,3,35,3,1,1,1,1,1,1,1,1,1,11.2920799099733,4.88009943151786,1,1,1,1,1,1,35,20,50,1,1,1,"Grande",1,"Productos de caucho y plastico",1,1,294457143.456807,1,0,NA,63.1314763382467,NA,38.4948898413027
"4",FALSE,3,3,3,21.7170080347604,2,3,50,0,1,1,1,1,1,1,1,1,1,8.47644515605958,34.9575709134612,1,1,0,1,1,1,50,0,100,0,0,0,"Grande",0,"Farmaceuticas",1,1,294457143.456807,1,0,NA,51.0481211190204,NA,38.4948898413027
"4",TRUE,3,3,3,30.2989417989418,2,2,23.3333333333333,2,1,1,1,1,1,1,1,1,1,42.962962962963,17.6349206349206,0,1,1,1,1,0,30,20,20,1,0,1,"Mediana",0,"Farmaceuticas",1,1,12080424.3364063,1,1,56.3333333333333,-33.4781872136798,26,-9.28624108391204
"4",FALSE,3,2,1,19.3847672382463,2,2,33.3333333333333,3,1,1,1,1,0,1,1,0,1,32.8414609971256,5.92807347936697,1,1,0,1,0,1,10,10,80,1,1,1,"Grande",0,"Farmaceuticas",1,0,274230854.392976,1,1,163.666666666667,120.96438599681,16.4473684210526,84.5692828462428
"4",FALSE,3,3,2,21.1347600474882,3,3,66.6666666666667,1,1,1,1,1,1,1,0,1,1,34.4794302481675,7.79008984680882,1,1,1,1,1,1,70,70,60,0,0,1,"Grande",1,"Papel",0,0,294457143.456807,0,0,NA,37.4682424480591,NA,38.4948898413027
"4",FALSE,3,2,3,3.8181523141284,3,3,66.6666666666667,3,1,1,1,1,1,0,1,1,1,2.21762734402945,5.41867728422735,1,1,1,1,1,1,90,40,70,1,1,1,"Grande",0,"Productos lacteos",1,1,294457143.456807,1,0,NA,13.1275760182858,NA,38.4948898413027
"4",FALSE,3,3,3,10.881126365884,3,3,98.3333333333333,3,1,1,1,1,1,1,1,1,1,17.0316691645875,4.73058356718047,1,1,1,1,1,1,96,100,99,1,1,1,"Grande",0,"Aparatos de uso domestico",0,1,294457143.456807,1,0,NA,-8.22855936477812,NA,38.4948898413027
"3",TRUE,2,0,1,17.8209400632681,3,3,16.6666666666667,0,1,1,0,0,0,0,0,1,0,15.9908513199518,19.6510288065844,1,1,1,1,1,1,0,0,50,0,0,0,"Grande",1,"Edicion",0,0,88872808.7348913,1,1,230.888888888889,70.7701243707925,3.67647058823514,63.4155568535273
